index,index at directory,label,link,number of tokens,number of verbs,number of subjunctive and imperative verbs,number of adjectives,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,percentage of news with speeling errors,emotiveness,diversity
2024,3202-meta.txt,fake,https://www.diariodobrasil.org/dilma-altera-mp-e-retira-punicao-de-empresas-envolvidas-em-escandalos-com-dinheiro-publico/,137,24,0,5,0,0,4,0.0,0.15625,0.717742
2025,1039-meta.txt,fake,https://www.diariodobrasil.org/deputado-desabafa-governo-lixo-liberou-um-caminhao-de-dinheiro-para-salvar-o-presidente/,146,20,0,9,1,0,6,0.0,0.271186,0.766667
2026,2518-meta.txt,fake,https://www.diariodobrasil.org/ex-ministro-da-cultura-do-pt-lei-rouanet-so-beneficia-consagrados-e-nao-atende-interesses-publicos/,183,37,1,4,0,0,11,0.0,0.306667,0.645161
2027,1797-meta.txt,fake,https://www.diariodobrasil.org/papai-noel-da-oi-brasilia-age-novamente-na-calada-da-noite-e-esfaqueia-o-povo-brasileiro-pelas-costas22b/,431,52,5,18,0,0,22,0.00280899,0.253165,0.629214
2028,3161-meta.txt,fake,https://www.diariodobrasil.org/reporter-da-nbc-passa-constrangimento-ao-vivo-com-nariz-escorrendo-em-frente-as-cameras/,96,11,0,7,0,0,2,0.0,0.263158,0.804878
2029,3021-meta.txt,fake,https://www.diariodobrasil.org/exclusivo-cinegrafista-flagra-membros-do-mst-atacando-a-policia-federal/,86,13,0,2,0,0,3,0.0,0.0769231,0.776316
2030,1088-meta.txt,fake,https://www.diariodobrasil.org/aviao-com-500-kg-de-cocaina-decolou-de-fazenda-arrendada-por-ministro-diz-revista/,142,13,0,3,0,0,6,0.0,0.148148,0.737288
2031,442-meta.txt,fake,https://www.diariodobrasil.org/bonner-interrompe-o-jn-e-ensina-telespectador-a-usar-o-celular-de-maneira-correta/,189,34,1,12,0,0,4,0.0060241,0.1875,0.650602
2032,1318-meta.txt,fake,https://www.diariodobrasil.org/exclusivo-japao-envia-navios-de-guerra-para-se-juntar-frota-dos-eua/,195,23,1,14,0,0,10,0.0,0.391304,0.691011
2033,3516-meta.txt,fake,https://www.diariodobrasil.org/mais-uma-trapalhada-dilma-diz-que-governo-cumpriu-com-as-fiscalizacoes-na-barragem-da-samarco/,18,2,0,0,0,0,1,0.0,0.125,1.0
2034,3137-meta.txt,fake,https://www.diariodobrasil.org/homem-invade-transmissao-ao-vivo-da-globo-news-segurando-cartaz-e-grita-midia-golpista/,144,14,0,10,0,0,1,0.0,0.26,0.711864
2035,3079-meta.txt,fake,https://www.diariodobrasil.org/alegria-de-lula-pode-durar-pouco-juiz-federal-suspende-posse-do-petista/,109,16,1,7,0,0,1,0.0105263,0.152174,0.694737
2036,3424-meta.txt,fake,https://www.diariodobrasil.org/grupo-encontra-brechas-na-lei-do-impeachment-e-quer-processar-dilma-por-pedaladas-mentais/,308,39,0,15,0,0,13,0.0,0.211864,0.640625
2037,2136-meta.txt,fake,https://www.diariodobrasil.org/ha-suspeitas-de-que-mantega-sabia-da-operacao-da-pf-e-teria-tentado-se-esconder-no-hospital-albert-einstein/,259,53,1,6,0,0,16,0.00429185,0.207207,0.613734
2038,264-meta.txt,fake,https://www.diariodobrasil.org/a-vida-de-um-juiz-do-supremo-na-suecia-sem-foro-privilegiado-sem-imunidade-e-sem-auxilios/,121,15,0,9,0,0,3,0.0186916,0.333333,0.682243
2039,2619-meta.txt,fake,https://www.diariodobrasil.org/delator-da-lava-jato-vai-cumprir-pena-em-mansao-de-luxo/,122,15,0,7,0,0,3,0.0,0.140351,0.720721
2040,688-meta.txt,fake,https://www.diariodobrasil.org/cuspidor-oficial-do-pt-joga-a-toalha-lula-prestes-a-ser-condenado-desisto-bye-bye-pt/,162,20,0,6,0,0,7,0.00763359,0.16129,0.778626
2041,602-meta.txt,fake,https://www.diariodobrasil.org/tremor-de-terra-de-2-9-graus-e-registrado-em-area-de-lancamento-de-misseis-na-coreia-do-norte/,244,34,1,14,0,0,6,0.0,0.225806,0.636771
2042,1012-meta.txt,fake,https://www.diariodobrasil.org/ministro-da-defesa-nao-descarta-intervencao-militar-se-os-politicos-nao-resolverem-a-crise/,219,33,3,8,0,0,13,0.0114286,0.197674,0.674286
2043,1067-meta.txt,fake,https://www.diariodobrasil.org/tirando-onda-mesmo-que-eu-perca-na-camara-nao-serei-condenado-pelo-stf/,212,38,4,8,1,0,17,0.0,0.2875,0.674157
2044,3315-meta.txt,fake,https://www.diariodobrasil.org/assessor-pessoal-de-dilma-deixa-o-cargo-misteriosamente/,169,25,3,2,0,0,11,0.00666667,0.101449,0.646667
2045,2387-meta.txt,fake,https://www.diariodobrasil.org/monica-moura-e-solta-sob-pagamento-de-fianca-de-r-28-milhoes/,194,27,1,5,0,0,5,0.0,0.155844,0.736527
2046,594-meta.txt,fake,https://www.diariodobrasil.org/carta-de-esposa-de-militar-viraliza-apos-boechat-chamar-pms-de-sao-paulo-de-idiotas/,835,132,9,24,2,3,60,0.00694444,0.210682,0.577778
2047,2469-meta.txt,fake,https://www.diariodobrasil.org/jornalista-brasileiro-eliakim-araujo-morre-aos-75-vitima-de-um-cancer/,235,25,0,12,0,0,6,0.0,0.244186,0.681373
2048,1373-meta.txt,fake,https://www.diariodobrasil.org/o-globo-bolsonaro-aparece-como-beneficiario-de-caixa-2-na-lista-de-furnas/,213,28,0,9,0,0,10,0.0,0.305556,0.645349
2049,2453-meta.txt,fake,https://www.diariodobrasil.org/saiba-porque-raul-castro-esta-chamando-seus-medicos-de-volta-a-lava-jato-vai-desmascarar-tudo/,199,29,4,8,0,0,8,0.00574713,0.185185,0.747126
2050,633-meta.txt,fake,https://www.diariodobrasil.org/rede-social-comunista-facebook-faz-parceria-com-instituto-de-george-soros/,546,82,7,34,0,0,32,0.0233051,0.232227,0.563559
2051,3364-meta.txt,fake,https://www.diariodobrasil.org/lembra-de-quando-contavamos-piadas-de-portugues-pois-e-chegou-a-vez-deles/,74,16,1,1,0,0,7,0.0454545,0.181818,0.848485
2052,1476-meta.txt,fake,https://www.diariodobrasil.org/presidente-da-colombia-honra-as-calcas-e-pede-desculpas-por-ter-recebido-dinheiro-da-odebrecht/,95,20,1,4,0,0,7,0.0,0.170732,0.795181
2053,1332-meta.txt,fake,https://www.diariodobrasil.org/eua-enviam-mais-dois-porta-avioes-para-peninsula-norte-coreana/,225,26,2,18,0,0,7,0.0,0.277778,0.655814
2054,3395-meta.txt,fake,https://www.diariodobrasil.org/com-microfone-aberto-deputado-deixa-escapar-o-cunha-vai-renunciar-ainda-hoje/,226,38,0,4,0,0,9,0.0052356,0.141304,0.691099
2055,3472-meta.txt,fake,https://www.diariodobrasil.org/deputado-araujo-agora-e-oficial-dilma-decretou-falencia-do-pais-ao-anunciar-a-paralisacao-de-servicos-basicos/,117,10,1,6,0,0,3,0.03125,0.24,0.78125
2056,3034-meta.txt,fake,https://www.diariodobrasil.org/lula-pede-abertura-de-inquerito-conta-o-antagonista-e-recebe-resposta-online-va-pastar-lula/,190,27,1,7,0,0,5,0.0184049,0.144578,0.625767
2057,810-meta.txt,fake,https://www.diariodobrasil.org/homem-ganha-premio-por-viver-pastando-como-um-bode/,118,17,1,4,0,0,3,0.00980392,0.145833,0.735294
2058,3148-meta.txt,fake,https://www.diariodobrasil.org/marqueteiro-do-pt-foi-avisado-sobre-a-deflagracao-da-operacao-da-pf-e-tentou-eliminar-provas/,197,35,5,7,0,0,12,0.00561798,0.137931,0.657303
2059,3176-meta.txt,fake,https://www.diariodobrasil.org/ha-10-anos-a-ex-petista-heloisa-helena-alertava-o-brasil-sobre-o-pt/,251,29,1,6,1,0,13,0.00471698,0.114583,0.641509
2060,2323-meta.txt,fake,https://www.diariodobrasil.org/tragedia-anunciada-reporter-alertou-sobre-queda-de-camera-na-vila-olimpica-ninguem-tomou-atitude23/,19,3,0,0,0,0,1,0.0,0.0,1.0
2061,169-meta.txt,fake,https://afolhabrasil.com.br/cultura/vou-processar-o-meu-pai-afirma-filho-de-tiririca/,627,90,3,31,1,0,50,0.0,0.245902,0.525217
2062,1222-meta.txt,fake,https://www.diariodobrasil.org/aecio-neves-se-encontra-com-investigado-cautelar-emitida-por-fachin-proibe-contato-com-outros-reus/,258,36,2,11,0,0,14,0.0,0.163462,0.623853
2063,529-meta.txt,fake,https://www.diariodobrasil.org/jornalista-da-band-disse-que-lula-e-um-lider-veja-o-que-eneas-o-mito-respondeu/,205,31,5,5,4,0,21,0.0,0.236842,0.664671
2064,3449-meta.txt,fake,https://www.diariodobrasil.org/cunha-reprovou-27-pedidos-de-impeachment-e-a-petralhada-se-calou-agora-falam-em-golpe/,178,30,1,3,2,0,9,0.00657895,0.178082,0.697368
2065,2240-meta.txt,fake,https://www.diariodobrasil.org/senador-bauer-quem-quiser-ver-uma-grande-obra-do-pt-e-so-viajar-para-cuba-e-angola/,82,13,2,6,0,0,6,0.0,0.257143,0.753623
2066,1586-meta.txt,fake,https://www.diariodobrasil.org/espirito-santo-numero-de-mortos-na-capital-chega-a-95-cerca-de-260-carros-foram-roubados-em-36-horas/,152,26,1,7,0,1,1,0.0,0.315789,0.779661
2067,3028-meta.txt,fake,https://www.diariodobrasil.org/decisao-de-teori-nao-tira-lula-das-maos-de-moro-o-petista-ainda-podera-ver-o-sol-nascer-quadrado/,377,51,3,19,0,0,19,0.00306748,0.374101,0.598159
2068,1325-meta.txt,fake,https://www.diariodobrasil.org/china-coloca-bombardeiros-em-estado-de-alerta-maximo-diz-eua/,310,39,3,19,0,0,11,0.00362319,0.233333,0.594203
2069,1042-meta.txt,fake,https://www.diariodobrasil.org/apos-aperto-de-maos-trump-questionou-quem-e-esse-senhor-esquisito/,98,12,1,5,0,0,8,0.0,0.171429,0.76
2070,565-meta.txt,fake,https://www.diariodobrasil.org/professora-chama-atencao-de-aluno-por-chegar-atrasado-e-di-menor-coloca-fogo-na-escola-inteira/,175,28,1,10,0,0,3,0.0134228,0.2,0.691275
2071,892-meta.txt,fake,https://www.diariodobrasil.org/reporter-da-globo-entrevistou-brad-pitt-nao-tem-inteligencia-da-pra-ouvir-o-cerebro-pegando-no-tranco/,172,27,0,8,0,0,3,0.0,0.285714,0.664122
2072,3534-meta.txt,fake,https://www.diariodobrasil.org/bolsonaro-tem-o-nome-citado-por-yousseff-na-lava-jato-ele-nao-recebeu-nenhum-tipo-de-propina/,95,12,1,2,0,0,5,0.0240964,0.219512,0.759036
2073,1954-meta.txt,fake,https://www.diariodobrasil.org/advogado-diz-que-manter-ex-governador-em-hospital-publico-e-um-crime-ele-corre-risco16/,165,27,0,7,0,0,8,0.0,0.220588,0.730496
2074,739-meta.txt,fake,https://www.diariodobrasil.org/advogado-de-lula-na-onu-joga-a-toalha/,206,30,0,15,0,0,8,0.00555556,0.325,0.633333
2075,1117-meta.txt,fake,https://www.diariodobrasil.org/urgente-van-atropela-varias-pessoas-na-porta-de-uma-mesquita-em-londres/,85,13,0,5,0,0,3,0.0,0.131579,0.826087
2076,3515-meta.txt,fake,https://www.diariodobrasil.org/em-congresso-do-pt-lula-demonstra-obsessao-seria-ideal-ganhar-a-presidenciaos-27-estados-e-as-prefeituras/,522,91,8,31,0,1,33,0.00451467,0.29703,0.598194
2077,3166-meta.txt,fake,https://www.diariodobrasil.org/participante-do-bbb-quebra-o-pau-com-a-globo-nao-tem-nem-bebida-aqui-povo-chato-do-cac/,171,30,2,3,2,0,11,0.0220588,0.25,0.698529
2078,2557-meta.txt,fake,https://www.diariodobrasil.org/o-show-de-wladimir-costa-no-conselho-de-etica-o-pt-e-um-partido-lotado-de-vagabundos-e-ladroes/,84,8,0,5,0,0,2,0.0,0.266667,0.794118
2079,2949-meta.txt,fake,https://www.diariodobrasil.org/pixuleco-surta-e-faz-ameaca-se-dilma-sofrer-impeachment-nao-sairemos-das-ruas/,178,26,4,6,0,0,3,0.00680272,0.191781,0.748299
2080,118-meta.txt,fake,https://afolhabrasil.com.br/politica/legalizacao-trabalho-escravo-no-brasil-sera-votado-no-congresso/,273,33,0,22,0,0,5,0.0,0.304762,0.691667
2081,1456-meta.txt,fake,https://www.diariodobrasil.org/video-mostra-frangos-sendo-bombados-com-produtos-quimicos/,166,28,0,8,0,0,6,0.0,0.186667,0.753425
2082,2859-meta.txt,fake,https://www.diariodobrasil.org/relatorio-da-pf-pimentel-e-o-coordenador-de-uma-organizacao-criminosa/,159,18,0,7,0,0,6,0.00757576,0.190476,0.681818
2083,480-meta.txt,fake,https://www.diariodobrasil.org/medico-de-hospital-publico-chora-durante-entrevista-e-comove-o-pais-nao-temos-dinheiro-pra-nada/,28,3,0,1,0,0,2,0.0,0.181818,1.0
2084,181-meta.txt,fake,https://afolhabrasil.com.br/religiao/cantor-gospel/,350,58,1,17,7,0,46,0.0,0.275591,0.635762
2085,234-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/04/temer-aprovou-lei-que-acaba-com-13-e.html,91,15,0,1,0,0,8,0.0,0.0810811,0.788235
2086,2209-meta.txt,fake,https://www.diariodobrasil.org/temer-comete-erro-de-principiante-no-twitter-e-reconhece-que-houve-um-golpe-no-pais21/,188,33,0,8,0,0,7,0.0,0.243243,0.673333
2087,332-meta.txt,fake,https://www.diariodobrasil.org/2x0-mais-um-desembargador-vota-pela-condenacao-de-lula-e-pede-a-prisao-do-reu/,103,5,0,8,0,0,2,0.010989,0.371429,0.791209
2088,608-meta.txt,fake,https://www.diariodobrasil.org/depoimento-governo-militar-so-foi-ruim-para-bandido-comunista-e-drogado/,108,15,1,7,0,1,13,0.0,0.388889,0.78022
2089,612-meta.txt,fake,https://www.diariodobrasil.org/caetano-defende-liberdade-artistica-e-internautas-nao-perdoam-limite-se-a-cantar-e-nao-defenda-a-pedofilia/,117,20,3,7,0,0,6,0.0,0.266667,0.742268
2090,2633-meta.txt,fake,https://www.diariodobrasil.org/portaria-emitida-pelo-ministro-da-justica-paralisa-direitos-humanos-por-90-dias/,427,24,1,25,0,0,11,0.00821918,0.217687,0.558904
2091,934-meta.txt,fake,https://www.diariodobrasil.org/atriz-e-parada-em-blitz-da-lei-seca-se-recusa-a-fazer-o-teste-do-etilometro-e-perde-a-cnh/,145,24,0,2,0,0,3,0.0,0.101695,0.734375
2092,2085-meta.txt,fake,https://www.diariodobrasil.org/um-video-memoravel-ayrton-senna-dizendo-que-viu-deus-apos-conquistar-seu-primeiro-titulo/,133,29,1,8,3,0,11,0.0,0.160714,0.761468
2093,3447-meta.txt,fake,https://www.diariodobrasil.org/temer-diz-que-nao-e-desleal-e-ja-fala-em-novas-eleicoes-convocadas-pelo-tse-2/,217,43,5,12,1,0,14,0.0,0.227273,0.666667
2094,3260-meta.txt,fake,https://www.diariodobrasil.org/em-minas-gerais-mulher-da-a-luz-no-banheiro-de-casa-e-diz-eu-nao-sabia-que-estava-gravida-2/,281,48,1,12,2,0,16,0.0,0.232759,0.659919
2095,2328-meta.txt,fake,https://www.diariodobrasil.org/promotor-de-justica-defende-que-populacao-faca-churrasco-de-jumento-para-controlar-o-excesso-de-animais/,200,27,1,4,0,0,4,0.0,0.091954,0.632184
2096,1438-meta.txt,fake,https://www.diariodobrasil.org/a-carne-e-fraca-mas-o-patrocinio-e-forte/,186,20,0,12,0,0,4,0.0,0.242857,0.720497
2097,3535-meta.txt,fake,https://www.diariodobrasil.org/para-liberar-fgts-dilma-altera-decreto-e-transforma-tragedia-de-mariana-em-desastre-natural/,250,31,1,12,0,0,11,0.00448431,0.255814,0.650224
2098,1120-meta.txt,fake,https://www.diariodobrasil.org/homem-da-mala-sera-transferido-para-carceragem-da-pf-para-evitar-queima-de-arquivo/,223,31,4,13,0,0,8,0.0,0.193182,0.564516
2099,903-meta.txt,fake,https://www.diariodobrasil.org/ingles-the-guardian-sobre-a-justica-brasileira-todos-sao-iguais-perante-a-lei-e-a-maior-mentira-ja-contada-no-brasil/,521,77,2,31,0,0,28,0.00221729,0.273632,0.587583
2100,3568-meta.txt,fake,https://www.diariodobrasil.org/jabor-faz-apelo-direto-para-dilma-por-favor-renuncie-presidenta-isso-nao-seria-humilhacao/,175,27,3,7,1,1,12,0.0,0.242424,0.791045
2101,2841-meta.txt,fake,https://www.diariodobrasil.org/pau-mandado-ato-de-anulacao-de-impeachment-foi-escrito-por-cardozo-e-um-escandalo/,136,19,0,4,0,0,3,0.0,0.166667,0.680672
2102,992-meta.txt,fake,https://www.diariodobrasil.org/deputado-e-senador-pedem-para-abrir-mao-do-foro-privilegiado-todos-sao-iguais-perante-a-lei/,187,25,0,11,0,0,8,0.0,0.222222,0.712418
2103,196-meta.txt,fake,http://www.topfivetv.com/2016/09/ex-piloto-e-ex-agente-da-cia-choca-o.html,393,50,2,21,0,0,22,0.0142045,0.154321,0.622159
2104,1231-meta.txt,fake,https://www.diariodobrasil.org/joesley-pagou-propina-para-ministerio-da-agricultura-alterar-regras-sanitarias-de-exportacao/,141,18,1,2,0,0,3,0.0,0.0833333,0.728814
2105,156-meta.txt,fake,https://afolhabrasil.com.br/politica/esquerdopatas-agridem-mae-de-jair-bolsonaro/,423,59,1,21,1,0,29,0.0084507,0.227848,0.614084
2106,1549-meta.txt,fake,https://www.diariodobrasil.org/ele-contou-que-entregou-propina-a-pedido-de-um-amigo-dias-depoiso-amigo-morreu/,296,39,0,4,1,0,15,0.0,0.114035,0.574899
2107,1519-meta.txt,fake,https://www.diariodobrasil.org/mae-do-cantor-victor-revelou-que-poliana-estava-nervosa-quebrou-coisas-e-se-jogou-no-chao/,273,42,1,8,1,0,21,0.0,0.313131,0.657658
2108,22-meta.txt,fake,https://afolhabrasil.com.br/politica/bolsonaro-vai-militarizar-todas-as-escolas-do-brasil-em-4-anos/,645,86,7,37,0,0,31,0.0,0.210317,0.634508
2109,2917-meta.txt,fake,https://www.diariodobrasil.org/lula-nao-se-conforma-e-diz-que-foi-traido-pelo-deputado-palhaco/,168,26,1,7,1,1,13,0.0,0.185714,0.732394
2110,2640-meta.txt,fake,https://www.diariodobrasil.org/sergio-machado-temer-nao-vai-se-calar-eu-tambem-nao-paguei-propina-e-pronto/,157,29,0,10,3,0,14,0.0,0.385965,0.676259
2111,3355-meta.txt,fake,https://www.diariodobrasil.org/apos-declarar-brizola-como-heroi-da-patria-dilma-pode-abandonar-o-pt-e-ir-para-o-pdt/,267,42,6,14,0,0,20,0.0,0.25,0.649351
2112,541-meta.txt,fake,https://www.diariodobrasil.org/caduquice-ou-desrespeito-lula-faz-piada-estupida-e-se-compara-a-deus/,113,21,3,2,0,0,5,0.0,0.0943396,0.783505
2113,2341-meta.txt,fake,https://www.diariodobrasil.org/pf-encontra-mensagem-no-celular-da-oas-conquistamos-obra-de-r-1-bilhao-com-a-ajuda-do-brahma/,222,24,0,3,0,0,5,0.0,0.0543478,0.553846
2114,3154-meta.txt,fake,https://www.diariodobrasil.org/para-evitar-ser-arrastado-para-depoimento-defesa-de-lula-entra-com-pedido-de-habeas-corpus/,179,30,1,4,0,0,8,0.00653595,0.133333,0.666667
2115,599-meta.txt,fake,https://www.diariodobrasil.org/bispo-pede-uniao-de-catolicos-evangelicos-e-outras-religioes-abandonem-a-globo-e-a-tv-do-demonio/,46,5,1,3,0,0,2,0.0,0.210526,0.891892
2116,1099-meta.txt,fake,https://www.diariodobrasil.org/mais-perdido-que-azeitona-em-boca-de-banguela-temer-chama-rei-da-noruega-de-rei-da-suecia/,166,22,1,3,0,1,9,0.0,0.166667,0.661654
2117,1564-meta.txt,fake,https://www.diariodobrasil.org/encontro-entre-diretor-da-pf-e-fachin-pode-ser-prenuncio-de-uma-mega-operacao-de-caca-aos-corruptos/,219,30,1,10,0,0,8,0.0,0.308642,0.733333
2118,569-meta.txt,fake,https://www.diariodobrasil.org/mestre-em-psicologia-sobre-adolescente-que-atirou-em-colegas-falta-de-preparo-emocional-e-educacional-nao-foi-bullying/,252,31,1,6,0,0,14,0.00925926,0.207921,0.699074
2119,2599-meta.txt,fake,https://www.diariodobrasil.org/jornalista-petista-tera-que-cumprir-pena-por-injuria-ele-chamou-heraldo-pereira-de-negro-de-alma-branca/,526,61,2,28,0,0,19,0.0,0.195,0.513859
2120,2851-meta.txt,fake,https://www.diariodobrasil.org/ex-ministro-da-fazenda-vai-ser-preso-pela-lava-jato-agora-falta-o-outro/,121,23,2,3,0,0,9,0.0,0.229167,0.638889
2121,2234-meta.txt,fake,https://www.diariodobrasil.org/eduardo-cunha-ministro-de-michel-temer/,103,17,0,5,0,0,2,0.0,0.162791,0.688889
2122,555-meta.txt,fake,https://www.diariodobrasil.org/russia-dispara-missil-nuclear-para-demonstrar-poderio-de-guerra/,229,29,1,15,0,0,6,0.0,0.26506,0.594203
2123,581-meta.txt,fake,https://www.diariodobrasil.org/trump-farei-o-que-tem-que-ser-feito-em-25-anos-clinton-bush-e-obama-falharam-nao-falharei/,364,66,1,22,2,0,30,0.0031348,0.231293,0.576802
2124,2421-meta.txt,fake,https://www.diariodobrasil.org/jornalista-australiano-destroi-a-imagem-da-rio-2016-favela-olimpica-mar-fedorento-dengue-e-bandidos/,310,47,1,16,3,0,17,0.0,0.237288,0.700389
2125,769-meta.txt,fake,https://www.diariodobrasil.org/lula-debocha-chama-procuradora-de-querida-e-leva-um-fumo-historico12/,67,10,1,2,0,0,6,0.0,0.192308,0.759259
2126,1286-meta.txt,fake,https://www.diariodobrasil.org/onde-foi-parar-a-pec-que-institui-concurso-para-ministros-do-stfstj-e-tcu-o-senado-engavetou/,180,28,1,7,0,0,6,0.0,0.205479,0.666667
2127,218-meta.txt,fake,http://www.thejornalbrasil.com.br/2017/03/lula-e-seus-advogados-pediram-uma.html,132,21,0,3,0,0,8,0.0,0.122807,0.604839
2128,2146-meta.txt,fake,https://www.diariodobrasil.org/eua-united-states-air-force-envia-mais-dois-bombardeiros-para-a-coreia-do-sul/,151,18,1,8,0,0,10,0.0,0.264151,0.678571
2129,2501-meta.txt,fake,https://www.diariodobrasil.org/dilma-diz-que-quer-representar-o-brasil-nas-olimpiadas-nasce-uma-estrela-dilma-hypolito1/,180,32,2,7,2,0,14,0.0,0.263889,0.712418
2130,1440-meta.txt,fake,https://www.diariodobrasil.org/lula-cobrou-gratidao-de-janot-e-tomou-um-nocaute-eu-estudei-fiz-concurso-nao-devo-nada-a-ninguem/,145,25,0,4,2,0,11,0.0,0.2,0.782609
2131,2860-meta.txt,fake,https://www.diariodobrasil.org/folha-fotografo-de-lula-tem-salario-maior-do-que-ministros-do-stf/,205,15,1,7,0,0,8,0.00574713,0.169014,0.591954
2132,2608-meta.txt,fake,https://www.diariodobrasil.org/lula-esta-mais-enrolado-que-rabo-de-leitao-leo-pinheiro-oas-entregou-tudo-sao-mais-de-10-crimes/,186,19,0,6,0,0,5,0.0,0.216216,0.63354
2133,2845-meta.txt,fake,https://www.diariodobrasil.org/magno-malta-tranquiliza-a-nacao-impeachment-continua-vamos-dar-baixa-na-carteira-de-dilma/,95,18,0,5,1,0,7,0.0,0.139535,0.775
2134,3295-meta.txt,fake,https://www.diariodobrasil.org/jornalista-da-bronca-em-dilma-se-pedir-pra-ela-declamar-batatinha-quando-nasce-ela-se-enrola-toda/,529,91,6,19,1,1,57,0.0116009,0.213198,0.561485
2135,3471-meta.txt,fake,https://www.diariodobrasil.org/haja-cela-na-papuda-sergio-moro-pede-quebra-de-sigilo-telefonico-e-petralhada-entra-em-panico/,281,38,1,10,0,0,12,0.00398406,0.141667,0.537849
2136,1351-meta.txt,fake,https://www.diariodobrasil.org/presidente-ira-ameaca-aumentar-capacidade-nuclear-e-provoca-trump-nao-preciso-de-permissao/,189,24,0,14,0,0,10,0.0,0.333333,0.666667
2137,1821-meta.txt,fake,https://www.diariodobrasil.org/temer-tenta-acelerar-lava-jato-e-recebe-resposta-da-pgr-temos-nosso-proprio-tempo-nao-dependemos-de-politica/,178,29,4,10,0,1,17,0.0,0.243243,0.738562
2138,1162-meta.txt,fake,https://www.diariodobrasil.org/bonner-e-fotografado-saindo-da-globo-junto-com-a-nova-namorada/,180,29,1,9,0,0,6,0.00628931,0.24,0.622642
2139,1232-meta.txt,fake,https://www.diariodobrasil.org/luciano-huck-apaga-todas-fotos-com-aecio-neves-das-redes-sociais/,100,12,0,5,0,0,7,0.0,0.25641,0.662921
2140,3188-meta.txt,fake,https://www.diariodobrasil.org/teori-zavascki-determina-soltura-do-senador-delcidio-do-amaral/,135,17,0,4,0,0,2,0.0,0.163636,0.74359
2141,66-meta.txt,fake,https://afolhabrasil.com.br/politica/esquerda-desiste-de-lula-e-o-deixa-revoltado/,335,31,1,10,0,0,9,0.0,0.184615,0.577703
2142,1836-meta.txt,fake,https://www.diariodobrasil.org/michel-temer-aparece-na-planilha-da-odebrecht-com-o-codinome-sem-medo09/,305,35,0,9,0,0,6,0.00389105,0.182609,0.55642
2143,1595-meta.txt,fake,https://www.diariodobrasil.org/reporter-pergunta-para-doria-se-da-para-construir-um-dialogo-com-pichadores-nao-negocio-com-bandidos/,74,13,1,1,0,0,5,0.016129,0.193548,0.725806
2144,123-meta.txt,fake,https://afolhabrasil.com.br/politica/tiririca-escreve-carta-de-repudio-aos-politicos-da-odebrecht/,661,108,13,21,7,0,71,0.0,0.226054,0.547138
2145,3017-meta.txt,fake,https://www.diariodobrasil.org/as-6-mentiras-cabeludas-que-dilma-contou-para-a-imprensa-internacional-no-dia-de-hoje/,326,33,1,8,0,0,17,0.0,0.156522,0.678445
2146,2456-meta.txt,fake,https://www.diariodobrasil.org/dinheiro-roubado-da-petrobras-para-nao-perder-o-patrimonio-delatora-decide-entregar-dilma/,201,30,0,5,0,0,7,0.0,0.168675,0.701149
2147,115-meta.txt,fake,https://afolhabrasil.com.br/politica/lula-tenta-humilhar-bolsonaro-antes-depoimento-sergio-moro/,281,37,2,6,3,0,19,0.0,0.106195,0.616601
2148,331-meta.txt,fake,https://www.diariodobrasil.org/desembargador-confirma-sentenca-de-sergio-moro-e-pede-12-anos-de-prisao-para-lula/,170,14,0,10,0,0,2,0.0,0.206349,0.657718
2149,3547-meta.txt,fake,https://www.diariodobrasil.org/proposta-de-aecio-vai-ampliar-em-ate-973-o-numero-de-cargos-comissionados-no-pais-e-nos-estados/,402,40,1,28,0,0,15,0.0,0.307143,0.566474
2150,3265-meta.txt,fake,https://www.diariodobrasil.org/urgente-barragem-da-samarco-em-mariana-tem-novo-vazamento-e-empresa-aciona-alerta/,187,28,0,7,0,0,3,0.00598802,0.179487,0.676647
2151,3366-meta.txt,fake,https://www.diariodobrasil.org/o-mito-dr-eneas-e-mais-um-de-seus-discursos-que-entraram-para-a-historia-do-brasil1/,132,13,0,17,0,0,9,0.04,0.605263,0.69
2152,497-meta.txt,fake,https://www.diariodobrasil.org/urgente-bombeiro-rouba-caminhao-de-quartel-para-jogar-contra-o-congresso/,134,21,1,5,0,0,7,0.0,0.157895,0.739496
2153,1728-meta.txt,fake,https://www.diariodobrasil.org/no-parana-presos-explodem-muro-de-penitenciaria-e-fogem/,146,17,0,4,0,0,3,0.00793651,0.111111,0.698413
2154,1976-meta.txt,fake,https://www.diariodobrasil.org/em-curitiba-traficantes-estao-com-medo-dos-politicos-e-querem-ser-transferidos-para-outra-cadeia/,143,21,0,6,0,0,10,0.0,0.163636,0.702479
2155,2559-meta.txt,fake,https://www.diariodobrasil.org/frota-tenho-um-grupo-com-mais-de-70-lutadores-prontos-para-defender-a-janaina/,193,30,1,9,0,1,8,0.0060241,0.21519,0.692771
2156,2531-meta.txt,fake,https://www.diariodobrasil.org/presidente-da-camara-podera-dar-andamento-ao-impeachment-de-temer/,104,15,1,3,0,0,3,0.0,0.148936,0.702128
2157,2232-meta.txt,fake,https://www.diariodobrasil.org/temer-muda-o-tom-da-conversa-e-orienta-seus-ministros-nao-aceitem-provocacoes-reajam-bateu-levou/,102,19,4,5,0,1,7,0.0,0.268293,0.753086
